date_time,heart_zone_id,total_minutes
2023-07-01T08:32,FAT_BURN,1
2023-07-01T08:36,FAT_BURN,1
2023-07-01T08:37,FAT_BURN,1
2023-07-01T08:38,FAT_BURN,1
2023-07-01T08:39,FAT_BURN,1
2023-07-01T08:40,FAT_BURN,1
2023-07-01T08:41,FAT_BURN,1
2023-07-01T08:42,FAT_BURN,1
2023-07-01T08:43,FAT_BURN,1
2023-07-01T08:44,FAT_BURN,1
2023-07-01T08:46,FAT_BURN,1
2023-07-01T08:48,FAT_BURN,1
2023-07-01T08:49,FAT_BURN,1
2023-07-01T08:54,FAT_BURN,1
2023-07-01T08:55,FAT_BURN,1
2023-07-01T08:56,FAT_BURN,1
2023-07-01T09:06,FAT_BURN,1
2023-07-01T09:07,FAT_BURN,1
2023-07-01T09:08,CARDIO,2
2023-07-01T09:10,FAT_BURN,1
2023-07-01T09:11,FAT_BURN,1
2023-07-01T09:12,FAT_BURN,1
2023-07-01T09:13,FAT_BURN,1
2023-07-01T09:14,FAT_BURN,1
2023-07-01T09:15,FAT_BURN,1
2023-07-01T09:16,FAT_BURN,1
2023-07-01T09:17,FAT_BURN,1
2023-07-01T09:18,FAT_BURN,1
2023-07-01T09:54,FAT_BURN,1
2023-07-01T09:55,FAT_BURN,1
2023-07-01T09:56,FAT_BURN,1
2023-07-01T10:03,FAT_BURN,1
2023-07-01T10:04,FAT_BURN,1
2023-07-01T10:05,FAT_BURN,1
2023-07-01T10:06,FAT_BURN,1
2023-07-01T10:07,FAT_BURN,1
2023-07-01T10:08,FAT_BURN,1
2023-07-01T10:09,FAT_BURN,1
2023-07-01T10:10,FAT_BURN,1
2023-07-01T10:11,FAT_BURN,1
2023-07-01T10:12,FAT_BURN,1
2023-07-01T10:13,FAT_BURN,1
2023-07-01T10:14,FAT_BURN,1
2023-07-01T10:15,FAT_BURN,1
2023-07-01T10:16,FAT_BURN,1
2023-07-01T10:17,FAT_BURN,1
2023-07-01T10:20,FAT_BURN,1
2023-07-01T10:21,FAT_BURN,1
2023-07-01T10:22,FAT_BURN,1
2023-07-01T10:23,FAT_BURN,1
2023-07-01T15:00,FAT_BURN,1
2023-07-01T15:01,FAT_BURN,1
2023-07-01T22:43,FAT_BURN,1
2023-07-02T13:10,FAT_BURN,1
2023-07-03T10:31,FAT_BURN,1
2023-07-03T10:32,FAT_BURN,1
2023-07-03T10:33,FAT_BURN,1
2023-07-03T10:34,FAT_BURN,1
2023-07-03T10:35,FAT_BURN,1
2023-07-03T10:36,FAT_BURN,1
2023-07-03T10:38,FAT_BURN,1
2023-07-03T10:39,FAT_BURN,1
2023-07-03T10:41,FAT_BURN,1
2023-07-03T10:42,FAT_BURN,1
2023-07-03T10:47,FAT_BURN,1
2023-07-03T10:48,FAT_BURN,1
2023-07-03T10:49,FAT_BURN,1
2023-07-03T10:50,FAT_BURN,1
