timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-08-01T04:52:30,12.0,0.7,7.7,12.0,0.7,7.7,12.6,0.7,4.936,-1.0,0.0,2.114
2023-08-02T04:14:30,14.8,1.4,6.42,14.8,1.4,6.42,14.4,1.1,3.823,16.0,0.9,3.215
2023-08-03T05:13:00,13.4,0.7,7.762,13.4,0.7,7.762,-1.0,0.0,2.143,-1.0,0.0,1.227
2023-08-04T04:47:00,12.6,0.7,2.631,12.6,0.7,2.631,13.2,0.7,3.736,-1.0,0.0,2.254
2023-08-05T04:03:00,13.6,1.2,9.72,13.6,1.2,9.72,13.8,1.1,4.648,-1.0,0.0,2.278
2023-08-06T05:24:00,12.4,0.7,4.288,12.4,0.7,4.288,13.0,0.9,3.57,-1.0,0.0,1.878
2023-08-07T05:04:30,12.6,0.9,6.549,12.6,0.9,6.549,-1.0,0.0,1.617,-1.0,0.0,1.808
2023-08-08T05:20:00,12.4,0.7,5.132,12.4,0.7,5.132,-1.0,0.0,1.573,-1.0,0.0,1.481
2023-08-09T05:15:00,13.4,1.0,8.1,13.4,1.0,8.1,13.0,1.0,7.141,13.6,1.1,2.902
2023-08-10T04:56:00,12.8,0.8,7.644,12.8,0.8,7.644,12.4,0.9,9.345,12.6,1.1,3.605
2023-08-11T05:13:00,13.0,0.9,7.96,13.0,0.9,7.96,13.0,0.9,6.855,-1.0,0.0,1.833
2023-08-12T05:18:00,13.0,0.6,4.838,13.0,0.6,4.838,12.4,1.1,4.025,-1.0,0.0,1.573
2023-08-13T05:28:00,12.8,0.6,5.769,12.8,0.6,5.769,12.8,1.1,5.473,-1.0,0.0,1.243
2023-08-14T04:51:00,12.8,0.8,8.097,12.8,0.8,8.097,12.8,1.3,4.067,13.0,1.1,3.8
2023-08-15T05:07:00,12.8,0.8,5.452,12.8,0.8,5.452,12.8,0.8,5.454,-1.0,0.0,1.514
2023-08-16T05:03:00,12.8,0.8,3.76,12.8,0.8,3.76,12.6,1.0,3.946,-1.0,0.0,2.159
2023-08-17T05:37:00,11.8,0.7,4.758,11.8,0.7,4.758,-1.0,0.0,1.855,-1.0,0.0,1.733
2023-08-18T05:23:30,12.6,0.7,4.596,-1.0,0.0,2.072,12.6,0.7,4.596,-1.0,0.0,1.233
2023-08-18T17:40:30,12.8,0.8,9.279,12.8,0.8,9.279,13.0,1.2,4.565,-1.0,0.0,1.601
2023-08-19T17:27:00,13.2,1.1,5.635,13.2,1.1,5.635,13.4,1.0,5.046,-1.0,0.0,1.523
2023-08-21T04:55:00,13.0,0.9,4.929,13.0,0.9,4.929,13.0,0.6,4.392,-1.0,0.0,1.773
2023-08-22T05:28:30,12.4,0.7,6.104,-1.0,0.0,1.67,12.4,0.7,6.104,-1.0,0.0,1.652
2023-08-23T05:38:30,12.4,0.8,5.432,12.4,0.8,5.432,-1.0,0.0,1.808,-1.0,0.0,1.741
2023-08-24T03:59:00,12.6,0.9,9.491,12.6,0.9,9.491,12.8,1.0,8.661,12.6,0.7,3.47
2023-08-25T05:03:30,13.2,0.6,12.047,13.2,0.6,12.047,12.8,1.0,8.534,-1.0,0.0,1.441
2023-08-26T05:08:00,12.6,1.0,9.521,12.6,1.0,9.521,12.4,0.9,13.328,-1.0,0.0,1.149
2023-08-27T05:38:00,13.4,1.0,12.502,13.4,1.0,12.502,12.8,1.0,8.31,-1.0,0.0,1.916
2023-08-28T05:24:00,12.8,0.8,7.205,12.8,0.8,7.205,12.6,0.9,6.006,12.8,1.1,2.51
2023-08-29T05:36:30,13.0,0.8,8.461,13.0,0.8,8.461,13.0,1.4,10.503,-1.0,0.0,1.474
2023-08-30T05:42:00,13.8,1.1,11.793,13.8,1.1,11.793,13.8,0.6,5.431,14.8,1.7,3.712
2023-08-31T05:17:00,13.4,0.8,7.857,13.4,0.8,7.857,-1.0,0.0,2.407,-1.0,0.0,2.077
