timestamp,bucket_values
2023-07-01T04:34:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.003, 0.003, 0.004, 0.006, 0.007, 0.008, 0.011, 0.022, 0.089, 0.191, 0.245, 0.187, 0.104, 0.062, 0.032, 0.012, 0.006, 0.002, 0.001, 0.0]"
2023-07-02T04:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.006, 0.012, 0.024, 0.048, 0.067, 0.053, 0.073, 0.084, 0.073, 0.097, 0.14, 0.137, 0.092, 0.051, 0.022, 0.009, 0.003, 0.0, 0.0, 0.0]"
2023-07-03T03:39:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.003, 0.005, 0.007, 0.008, 0.009, 0.01, 0.008, 0.011, 0.029, 0.102, 0.22, 0.24, 0.137, 0.085, 0.063, 0.039, 0.013, 0.004, 0.0, 0.0]"
2023-07-04T04:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.002, 0.004, 0.006, 0.011, 0.015, 0.022, 0.024, 0.029, 0.067, 0.121, 0.175, 0.172, 0.138, 0.09, 0.059, 0.032, 0.018, 0.008, 0.002, 0.0, 0.0]"
2023-07-05T04:39:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.003, 0.003, 0.005, 0.006, 0.007, 0.007, 0.009, 0.011, 0.028, 0.104, 0.227, 0.224, 0.166, 0.106, 0.051, 0.025, 0.01, 0.003, 0.001, 0.0]"
2023-07-06T04:47:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.004, 0.007, 0.013, 0.015, 0.021, 0.023, 0.025, 0.061, 0.11, 0.153, 0.162, 0.134, 0.114, 0.081, 0.044, 0.017, 0.007, 0.004, 0.001, 0.0]"
2023-07-07T04:52:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.002, 0.003, 0.01, 0.013, 0.022, 0.028, 0.031, 0.04, 0.055, 0.086, 0.132, 0.166, 0.16, 0.114, 0.072, 0.038, 0.016, 0.006, 0.002, 0.001, 0.0]"
2023-07-08T04:43:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.006, 0.01, 0.013, 0.019, 0.021, 0.021, 0.015, 0.02, 0.037, 0.105, 0.184, 0.175, 0.134, 0.103, 0.074, 0.04, 0.012, 0.004, 0.001, 0.001]"
2023-07-09T04:27:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.005, 0.011, 0.024, 0.034, 0.042, 0.024, 0.023, 0.015, 0.014, 0.035, 0.11, 0.189, 0.183, 0.129, 0.086, 0.045, 0.019, 0.006, 0.002, 0.001]"
2023-07-10T02:54:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.002, 0.004, 0.013, 0.014, 0.019, 0.019, 0.018, 0.015, 0.01, 0.021, 0.054, 0.134, 0.204, 0.197, 0.131, 0.082, 0.036, 0.015, 0.005, 0.002]"
