timestamp,rmssd,coverage,low_frequency,high_frequency
2024-05-02T01:05:00,71.611,0.987,279.942,946.851
2024-05-02T01:10:00,77.792,0.967,4080.853,850.858
2024-05-02T01:15:00,65.998,0.993,396.144,771.985
2024-05-02T01:20:00,87.635,0.922,400.161,1385.781
2024-05-02T01:25:00,89.828,1.006,585.018,1620.004
2024-05-02T01:30:00,89.985,0.998,2751.498,2002.45
2024-05-02T01:35:00,91.212,0.961,1020.915,1435.506
2024-05-02T01:40:00,92.121,0.926,2386.533,1256.381
2024-05-02T01:45:00,96.544,0.924,5094.262,1173.959
2024-05-02T01:50:00,94.822,0.935,6987.352,1569.56
2024-05-02T01:55:00,101.673,1.004,4859.69,2659.392
2024-05-02T02:00:00,81.149,1.006,1886.57,1225.161
2024-05-02T02:05:00,97.437,0.968,7996.348,2634.751
2024-05-02T02:10:00,76.718,0.973,1699.879,1253.661
2024-05-02T02:15:00,63.745,0.992,401.905,734.844
2024-05-02T02:20:00,58.899,1.003,329.1,668.196
2024-05-02T02:25:00,55.866,0.989,1237.901,601.503
2024-05-02T02:30:00,58.175,1.007,419.159,592.16
2024-05-02T02:35:00,68.188,0.989,372.233,959.831
2024-05-02T02:40:00,68.692,0.92,11237.803,920.399
2024-05-02T02:45:00,81.051,0.988,527.963,1175.237
2024-05-02T02:50:00,90.659,0.975,3011.358,1505.551
2024-05-02T02:55:00,77.088,1.005,2356.91,1111.671
2024-05-02T03:00:00,81.239,1.004,684.809,1086.95
2024-05-02T03:05:00,92.257,0.939,17657.299,1296.284
2024-05-02T03:10:00,99.135,0.977,5758.591,2021.98
2024-05-02T03:15:00,112.689,0.953,6507.435,2236.074
2024-05-02T03:20:00,101.855,0.945,8225.599,1866.518
2024-05-02T03:25:00,97.566,0.998,15730.761,2725.21
2024-05-02T03:30:00,94.768,0.993,6679.201,1132.31
2024-05-02T03:35:00,111.368,0.954,9588.356,2084.434
2024-05-02T03:40:00,139.101,0.995,10677.364,3473.452
2024-05-02T03:45:00,90.273,0.897,2891.29,1015.906
2024-05-02T03:50:00,55.264,0.984,2760.193,794.584
2024-05-02T03:55:00,66.738,1.005,510.451,630.509
2024-05-02T04:00:00,61.872,1.008,580.043,696.274
2024-05-02T04:05:00,67.45,0.993,1134.901,688.705
2024-05-02T04:10:00,61.951,0.973,947.805,577.397
2024-05-02T04:15:00,64.909,0.997,1081.209,751.838
2024-05-02T04:20:00,67.4,0.984,535.226,628.931
2024-05-02T04:25:00,59.395,1.005,513.879,618.344
2024-05-02T04:30:00,99.216,0.937,11276.495,2870.813
2024-05-02T04:35:00,153.983,0.892,19367.092,3406.942
2024-05-02T04:40:00,83.562,1.003,6121.305,1134.23
2024-05-02T04:45:00,92.616,0.939,10033.907,1889.124
2024-05-02T04:50:00,149.427,0.861,24408.556,4834.466
