timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-01-01T05:38:00,12.8,0.6,5.191,12.8,0.6,5.191,13.0,1.0,5.308,13.0,2.0,3.117
2024-01-02T05:20:00,13.6,0.8,6.201,13.6,0.8,6.201,14.6,0.8,3.172,-1.0,0.0,1.473
2024-01-03T06:23:00,13.0,1.1,11.759,13.0,1.1,11.759,13.0,1.1,4.625,-1.0,0.0,1.702
2024-01-04T06:17:30,13.4,1.2,8.313,13.4,1.2,8.313,12.6,1.2,5.146,-1.0,0.0,2.357
2024-01-05T05:26:30,13.2,1.0,8.526,13.2,1.0,8.526,13.4,0.6,5.108,13.2,1.1,2.93
2024-01-06T05:23:00,12.4,0.7,6.844,12.4,0.7,6.844,12.6,0.8,9.534,12.6,0.8,3.911
2024-01-07T04:50:30,14.0,0.9,5.468,14.0,0.9,5.468,13.4,1.1,7.846,13.0,1.5,5.909
2024-01-08T04:39:30,13.2,1.0,6.602,13.2,1.0,6.602,12.8,1.4,4.841,12.8,2.1,4.586
2024-01-10T06:18:00,13.6,0.7,4.367,13.6,0.7,4.367,13.2,1.3,4.683,-1.0,0.0,1.269
2024-01-11T04:44:00,12.6,0.6,5.468,12.6,0.6,5.468,13.0,1.2,5.55,13.6,1.0,4.851
2024-01-12T05:55:30,13.0,0.8,9.902,13.0,0.8,9.902,13.8,0.7,5.477,13.6,0.8,4.217
2024-01-13T05:03:30,13.6,1.0,6.277,13.6,1.0,6.277,13.4,0.9,5.702,-1.0,0.0,2.166
2024-01-14T06:59:30,12.6,0.5,9.039,12.6,0.5,9.039,13.4,0.6,10.123,13.2,3.0,2.821
2024-01-15T08:00:30,12.6,0.6,9.506,12.6,0.6,9.506,12.6,1.3,4.836,13.2,1.1,3.852
2024-01-16T06:06:30,13.0,0.6,8.105,13.0,0.6,8.105,12.6,1.0,4.771,-1.0,0.0,1.769
2024-01-17T05:16:30,13.4,0.8,7.054,13.4,0.8,7.054,12.8,1.3,4.362,-1.0,0.0,2.049
2024-01-18T05:07:30,13.6,1.0,10.156,13.6,1.0,10.156,13.2,0.9,7.368,11.0,1.0,3.749
2024-01-19T05:49:00,12.8,0.9,9.086,12.8,0.9,9.086,12.8,0.7,8.168,12.8,1.6,6.489
2024-01-21T05:46:00,14.0,0.9,9.22,14.0,0.9,9.22,12.8,1.3,6.204,12.8,0.9,3.382
2024-01-22T05:33:00,13.4,0.8,9.792,13.4,0.8,9.792,13.0,1.0,7.357,-1.0,0.0,2.237
2024-01-23T05:18:30,14.2,1.2,5.336,14.2,1.2,5.336,13.6,0.8,7.258,14.4,0.7,2.68
2024-01-24T06:31:30,12.8,0.7,6.602,12.8,0.7,6.602,12.6,1.5,4.832,-1.0,0.0,1.114
2024-01-25T04:26:30,17.6,1.7,4.463,17.0,1.9,3.174,17.6,1.7,4.463,-1.0,0.0,0.0
2024-01-26T05:39:30,13.6,0.7,10.162,13.6,0.7,10.162,13.6,0.7,5.471,-1.0,0.0,1.332
2024-01-27T06:43:30,14.8,0.9,7.36,14.8,0.9,7.36,14.2,1.8,5.72,-1.0,0.0,0.0
2024-01-28T05:38:30,13.8,1.0,8.884,13.8,1.0,8.884,13.8,1.0,5.77,-1.0,0.0,1.708
2024-01-29T06:29:00,13.0,0.5,10.251,13.0,0.5,10.251,12.6,0.7,10.503,11.4,0.9,2.96
2024-01-30T05:53:00,13.8,1.1,12.822,13.8,1.1,12.822,13.2,0.9,11.034,13.8,1.3,6.024
2024-01-31T05:55:30,13.4,0.7,8.724,13.4,0.7,8.724,-1.0,0.0,2.08,-1.0,0.0,2.101
