timestamp,rmssd,coverage,low_frequency,high_frequency
2023-08-08T00:15:00,84.353,0.928,1275.134,1348.038
2023-08-08T00:20:00,83.219,0.897,1236.327,1148.73
2023-08-08T00:25:00,89.109,0.994,2271.275,1762.907
2023-08-08T00:30:00,80.539,0.998,5816.451,1736.774
2023-08-08T00:35:00,64.936,1.004,293.704,991.614
2023-08-08T00:40:00,72.438,1.004,619.487,1473.122
2023-08-08T00:45:00,93.489,0.924,7898.833,1982.307
2023-08-08T00:50:00,69.664,0.97,5266.887,1337.911
2023-08-08T00:55:00,99.314,0.88,7855.147,1334.882
2023-08-08T01:00:00,108.855,1.004,9170.009,2680.222
2023-08-08T01:05:00,126.82,0.964,8484.199,3313.846
2023-08-08T01:10:00,112.402,0.995,11677.084,3656.808
2023-08-08T01:15:00,75.428,1.004,3181.991,1737.136
2023-08-08T01:20:00,59.356,1.002,2848.366,1026.44
2023-08-08T01:25:00,70.022,1.006,3499.061,1069.703
2023-08-08T01:30:00,89.503,0.955,4143.844,1751.161
2023-08-08T01:35:00,85.467,1.006,5893.497,1844.479
2023-08-08T01:40:00,64.505,1.003,3774.569,1081.633
2023-08-08T01:45:00,50.553,1.002,1918.393,532.861
2023-08-08T01:50:00,65.87,1.006,5221.868,925.005
2023-08-08T01:55:00,66.115,1.004,5397.469,892.003
2023-08-08T02:00:00,68.961,1.002,5702.805,1216.126
2023-08-08T02:05:00,96.369,1.005,15342.47,2067.996
2023-08-08T02:10:00,117.158,0.928,10273.826,2563.446
2023-08-08T02:15:00,92.742,0.859,7365.315,2047.367
2023-08-08T02:25:00,166.536,0.941,14224.782,6600.141
2023-08-08T02:30:00,115.2,0.923,8932.436,2281.419
2023-08-08T02:35:00,109.666,0.949,19599.932,2059.762
2023-08-08T02:40:00,116.169,0.991,17358.292,2565.99
2023-08-08T02:45:00,78.838,1.003,8788.671,1339.674
2023-08-08T02:50:00,69.533,0.918,7890.932,1811.495
2023-08-08T02:55:00,62.534,0.997,7729.388,940.353
2023-08-08T03:00:00,46.668,1.007,2070.52,579.004
2023-08-08T03:05:00,64.748,0.99,2153.782,1006.423
2023-08-08T03:10:00,58.794,0.924,2241.958,790.8
2023-08-08T03:15:00,65.431,0.997,6092.317,1209.049
2023-08-08T03:20:00,63.549,0.946,3502.797,1130.6
2023-08-08T03:25:00,55.181,0.935,3842.103,680.277
2023-08-08T03:30:00,93.644,0.986,5085.987,1337.796
2023-08-08T03:35:00,69.758,0.869,6978.207,1205.317
2023-08-08T03:40:00,91.599,0.875,11496.779,2052.627
2023-08-08T03:45:00,78.58,0.998,9623.256,1080.63
2023-08-08T03:50:00,74.37,1.003,3689.762,1474.69
2023-08-08T03:55:00,67.65,0.925,3578.989,908.894
2023-08-08T04:00:00,106.737,0.997,26191.018,3231.616
2023-08-08T04:05:00,92.845,0.997,14558.078,2207.091
2023-08-08T04:10:00,109.63,0.992,17353.644,3912.591
2023-08-08T04:15:00,129.67,0.912,13512.82,3028.514
2023-08-08T04:20:00,191.855,0.996,18084.989,6583.842
2023-08-08T04:25:00,118.845,0.942,16665.89,2476.801
2023-08-08T04:30:00,91.53,0.963,8804.944,1334.748
2023-08-08T04:35:00,86.014,1.002,10834.759,1134.108
2023-08-08T04:40:00,103.208,0.956,17515.94,3435.789
2023-08-08T04:45:00,100.759,1.005,16414.136,2373.117
2023-08-08T04:50:00,103.753,0.797,6701.007,1391.907
2023-08-08T04:55:00,110.755,0.845,9828.559,3293.865
2023-08-08T05:00:00,86.412,1.001,14938.063,2808.431
2023-08-08T05:05:00,83.512,1.006,9547.864,1876.416
2023-08-08T05:10:00,130.636,0.923,16053.483,3388.49
