timestamp,rmssd,coverage,low_frequency,high_frequency
2023-08-19T12:15:00,79.104,0.89,6895.901,1050.427
2023-08-19T12:20:00,69.975,0.956,2559.026,1242.832
2023-08-19T12:25:00,57.695,0.91,1670.229,702.255
2023-08-19T12:30:00,48.902,1.001,1242.751,724.366
2023-08-19T12:35:00,65.028,1.005,4157.294,1310.97
2023-08-19T12:40:00,55.718,1.003,3733.613,1017.31
2023-08-19T12:45:00,48.608,1.006,1143.189,651.069
2023-08-19T12:50:00,62.831,0.96,3955.433,1187.759
2023-08-19T12:55:00,52.374,0.949,895.065,540.789
2023-08-19T13:00:00,55.425,0.959,1173.199,790.487
2023-08-19T13:05:00,68.712,0.994,8553.864,1264.069
2023-08-19T13:10:00,46.244,0.952,3379.773,721.528
2023-08-19T13:15:00,59.258,0.919,3641.557,747.741
2023-08-19T13:20:00,45.21,0.986,1048.604,640.119
2023-08-19T13:25:00,48.9,1.003,910.909,864.086
2023-08-19T13:30:00,38.161,1.003,201.495,575.683
2023-08-19T13:35:00,38.225,1.003,138.771,461.809
2023-08-19T13:40:00,34.1,1.003,181.721,429.428
2023-08-19T13:45:00,34.044,1.006,152.009,464.527
2023-08-19T13:50:00,79.216,0.913,13022.819,1150.843
2023-08-19T13:55:00,67.884,0.954,4724.163,932.658
2023-08-19T14:00:00,49.532,1.001,362.058,740.306
2023-08-19T14:05:00,53.766,1.005,3012.028,950.274
2023-08-19T14:10:00,44.638,1.003,1842.239,701.77
2023-08-19T14:15:00,71.705,0.898,9022.4,1201.209
2023-08-19T14:20:00,75.126,1.005,4678.335,1946.88
2023-08-19T14:25:00,83.705,1.004,4500.145,2176.078
2023-08-19T14:30:00,91.17,0.948,13089.17,1642.24
2023-08-19T14:35:00,66.382,0.965,5575.733,1284.638
2023-08-19T14:40:00,47.217,0.954,1309.986,740.11
2023-08-19T14:45:00,106.315,0.937,8227.98,2632.257
2023-08-19T14:50:00,111.038,0.947,21179.904,2255.331
2023-08-19T14:55:00,126.82,0.852,14786.223,3292.305
2023-08-19T15:00:00,173.585,0.989,19023.356,5612.9
2023-08-19T15:05:00,126.18,0.955,15097.288,3278.378
2023-08-19T15:10:00,80.818,0.892,5775.579,2229.387
2023-08-19T15:15:00,79.944,1.005,7036.762,1360.591
2023-08-19T15:20:00,54.667,1.002,2661.557,823.335
2023-08-19T15:25:00,49.849,1.004,1949.736,703.502
2023-08-19T15:30:00,47.237,0.997,3028.919,664.762
2023-08-19T15:35:00,57.693,0.955,11200.913,867.158
2023-08-19T15:40:00,61.649,0.977,3675.552,997.304
2023-08-19T15:45:00,56.341,0.971,2997.647,748.425
2023-08-19T15:50:00,74.292,1.004,6835.913,1744.665
2023-08-19T15:55:00,99.766,0.99,6364.328,3486.705
2023-08-19T16:05:00,75.455,0.99,4999.064,1541.262
2023-08-19T16:10:00,103.895,0.935,9332.426,2557.944
2023-08-19T16:15:00,92.049,0.85,8092.171,1457.582
2023-08-19T16:20:00,116.341,0.995,23184.423,2574.202
2023-08-19T16:35:00,171.201,0.906,26439.979,5634.746
2023-08-19T16:40:00,135.598,0.953,20931.216,3510.598
2023-08-19T16:45:00,114.485,0.982,11699.561,2325.392
2023-08-19T16:50:00,90.826,1.003,19247.48,2326.978
2023-08-19T16:55:00,104.113,0.818,8840.913,2505.76
2023-08-19T17:00:00,82.199,0.943,11413.467,1557.666
2023-08-19T17:05:00,44.117,1.004,937.248,524.934
2023-08-19T17:10:00,41.366,1.005,2080.876,468.504
2023-08-19T17:15:00,39.746,1.003,520.788,505.564
2023-08-19T17:20:00,55.687,0.828,3357.815,1099.754
