timestamp,rmssd,coverage,low_frequency,high_frequency
2023-06-09T00:15:00,72.865,0.932,4740.475,867.871
2023-06-09T00:20:00,70.066,0.993,6395.13,761.292
2023-06-09T00:25:00,58.297,0.988,8544.615,702.841
2023-06-09T00:30:00,57.026,1.004,3149.826,695.136
2023-06-09T00:35:00,48.7,1.002,1686.057,662.356
2023-06-09T00:40:00,46.219,1.004,6250.492,525.577
2023-06-09T00:45:00,25.096,1.003,291.646,134.976
2023-06-09T00:50:00,31.409,0.938,585.727,231.222
2023-06-09T00:55:00,44.872,0.959,2065.852,412.359
2023-06-09T01:00:00,31.245,0.976,433.227,193.326
2023-06-09T01:05:00,38.607,0.968,1293.843,572.3
2023-06-09T01:10:00,41.837,0.963,2663.093,430.944
2023-06-09T01:15:00,36.026,1.003,330.001,411.759
2023-06-09T01:20:00,33.894,1.002,108.877,403.769
2023-06-09T01:25:00,39.531,1.004,698.634,668.468
2023-06-09T01:30:00,36.355,1.004,151.984,410.821
2023-06-09T01:35:00,28.394,1.004,164.925,266.476
2023-06-09T01:40:00,29.258,1.002,98.714,307.38
2023-06-09T01:45:00,32.981,1.003,333.923,434.628
2023-06-09T01:50:00,29.517,1.002,190.249,374.793
2023-06-09T01:55:00,28.198,1.004,168.245,288.281
2023-06-09T02:00:00,49.72,0.934,3909.682,813.512
2023-06-09T02:05:00,52.66,1.003,3880.2,761.219
2023-06-09T02:10:00,40.78,1.003,2466.437,537.227
2023-06-09T02:15:00,52.502,0.977,5032.846,1045.92
2023-06-09T02:20:00,43.007,0.95,638.844,417.516
2023-06-09T02:25:00,35.549,0.996,2086.022,454.649
2023-06-09T02:30:00,45.109,0.97,3977.393,530.433
2023-06-09T02:35:00,37.519,1.003,152.991,443.14
2023-06-09T02:40:00,39.684,1.004,188.356,555.876
2023-06-09T02:45:00,43.21,1.002,692.091,588.728
2023-06-09T02:50:00,45.046,1.003,3520.823,564.688
2023-06-09T02:55:00,53.041,0.947,3317.298,742.874
2023-06-09T03:00:00,48.844,1.004,345.014,740.824
2023-06-09T03:05:00,50.079,1.001,1399.769,672.779
2023-06-09T03:10:00,60.43,0.967,5122.133,889.025
2023-06-09T03:15:00,56.153,1.001,4932.237,835.217
2023-06-09T03:20:00,49.512,1.005,326.71,692.156
2023-06-09T03:25:00,62.746,0.982,5167.642,1135.508
2023-06-09T03:30:00,40.288,0.987,1221.37,528.747
2023-06-09T03:45:00,41.889,0.779,2370.056,407.887
2023-06-09T03:55:00,68.785,0.985,7853.904,1259.844
2023-06-09T04:00:00,58.423,0.996,4227.703,643.837
2023-06-09T04:05:00,64.506,0.973,5600.106,947.119
2023-06-09T04:10:00,61.522,0.971,8032.109,684.893
2023-06-09T04:15:00,58.716,1.004,2174.039,680.549
2023-06-09T04:20:00,56.217,1.005,2007.834,600.549
2023-06-09T04:25:00,56.877,0.995,2799.658,777.314
2023-06-09T04:30:00,72.807,0.936,11538.633,926.616
2023-06-09T04:35:00,67.039,0.982,10244.204,776.477
2023-06-09T04:40:00,105.428,0.733,17254.807,2458.047
2023-06-09T04:45:00,81.853,0.714,7317.532,1035.807
