timestamp,Infrared to Red Signal Ratio
09/26/20 00:00:32,-15
09/26/20 00:01:32,10
09/26/20 00:02:32,-1
09/26/20 00:03:32,-4
09/26/20 00:04:33,-3
09/26/20 00:05:33,2
09/26/20 00:06:33,-2
09/26/20 00:07:33,0
09/26/20 00:08:33,2
09/26/20 00:09:33,0
09/26/20 00:10:34,0
09/26/20 00:11:34,5
09/26/20 00:12:34,0
09/26/20 00:13:34,0
09/26/20 00:14:34,-8
09/26/20 00:15:34,-3
09/26/20 00:16:34,0
09/26/20 00:17:35,-3
09/26/20 00:18:35,-1
09/26/20 00:19:35,-1
09/26/20 00:20:35,8
09/26/20 00:21:35,-1
09/26/20 00:22:35,-8
09/26/20 00:23:35,0
09/26/20 00:24:37,-7
09/26/20 00:25:37,-1
09/26/20 00:26:37,5
09/26/20 00:27:37,44
09/26/20 00:28:37,-1
09/26/20 00:29:37,-3
09/26/20 00:30:38,18
09/26/20 00:31:38,45
09/26/20 00:32:38,32
09/26/20 00:33:38,49
09/26/20 00:34:38,5
09/26/20 00:35:38,12
09/26/20 00:36:38,-4
09/26/20 00:37:39,37
09/26/20 00:38:39,1
09/26/20 00:39:39,-13
09/26/20 00:40:39,-19
09/26/20 00:41:39,13
09/26/20 00:42:39,-16
09/26/20 00:43:39,-20
09/26/20 00:44:40,-25
09/26/20 00:45:40,-1
09/26/20 00:46:40,-8
09/26/20 00:47:40,-8
09/26/20 00:48:40,-5
09/26/20 00:49:40,-11
09/26/20 00:50:41,-11
09/26/20 00:51:41,-19
09/26/20 00:52:41,0
09/26/20 00:53:41,0
09/26/20 00:54:41,-21
09/26/20 00:55:41,-8
09/26/20 00:56:41,-28
09/26/20 00:57:42,-19
09/26/20 00:58:42,2
09/26/20 00:59:42,-2
09/26/20 01:00:42,0
09/26/20 01:01:42,-1
09/26/20 01:02:42,2
09/26/20 01:03:42,-1
09/26/20 01:04:43,-4
09/26/20 01:05:43,0
09/26/20 01:06:43,-14
09/26/20 01:07:43,-1
09/26/20 01:08:43,-5
09/26/20 01:09:43,4
09/26/20 01:10:44,-20
09/26/20 01:11:44,-3
09/26/20 01:12:44,9
09/26/20 01:13:44,-16
09/26/20 01:14:44,-2
09/26/20 01:15:44,-1
09/26/20 01:16:44,-3
09/26/20 01:17:45,-4
09/26/20 01:18:45,0
09/26/20 01:19:45,8
09/26/20 01:20:45,0
09/26/20 01:21:45,15
09/26/20 01:22:45,0
09/26/20 01:23:45,-1
09/26/20 01:24:46,0
09/26/20 01:25:46,8
09/26/20 01:26:46,0
09/26/20 01:27:46,-18
09/26/20 01:28:46,11
09/26/20 01:29:46,1
09/26/20 01:30:47,0
09/26/20 01:31:47,0
09/26/20 01:32:47,1
09/26/20 01:33:47,-1
09/26/20 01:34:47,-8
09/26/20 01:35:47,-5
09/26/20 01:36:47,1
09/26/20 01:37:48,0
09/26/20 01:38:48,1
09/26/20 01:39:48,-1
09/26/20 01:40:48,0
09/26/20 01:41:48,-1
09/26/20 01:42:48,4
09/26/20 01:43:48,5
09/26/20 01:44:49,3
09/26/20 01:45:49,-2
09/26/20 01:46:49,7
09/26/20 01:47:49,-19
09/26/20 01:48:49,-2
09/26/20 01:49:49,-7
09/26/20 01:50:50,3
09/26/20 01:51:50,-14
09/26/20 01:52:50,2
09/26/20 01:53:50,-5
09/26/20 01:54:50,-6
09/26/20 01:55:50,-1
09/26/20 01:56:50,20
09/26/20 01:57:51,-2
09/26/20 01:58:51,22
09/26/20 01:59:51,2
09/26/20 02:00:51,-2
09/26/20 02:01:51,4
09/26/20 02:02:51,4
09/26/20 02:03:52,0
09/26/20 02:04:52,5
09/26/20 02:05:52,-2
09/26/20 02:06:52,2
09/26/20 02:07:52,11
09/26/20 02:08:52,-6
09/26/20 02:09:52,9
09/26/20 02:10:53,-4
09/26/20 02:11:53,29
09/26/20 02:12:53,-20
09/26/20 02:13:53,2
09/26/20 02:14:53,31
09/26/20 02:15:53,-3
09/26/20 02:16:53,3
09/26/20 02:17:54,62
09/26/20 02:18:54,-15
09/26/20 02:19:54,39
09/26/20 02:20:54,6
09/26/20 02:21:54,0
09/26/20 02:22:54,-57
09/26/20 02:23:55,-1
09/26/20 02:24:55,-9
09/26/20 02:25:55,1
09/26/20 02:26:55,-2
09/26/20 02:27:55,-2
09/26/20 02:28:55,-3
09/26/20 02:29:55,-8
09/26/20 02:30:56,-6
09/26/20 02:31:56,0
09/26/20 02:32:56,-1
09/26/20 02:33:56,3
09/26/20 02:34:56,0
09/26/20 02:35:56,-23
09/26/20 02:36:56,-2
09/26/20 02:37:57,-3
09/26/20 02:38:57,-3
09/26/20 02:39:57,-1
09/26/20 02:40:57,-2
09/26/20 02:41:57,-2
09/26/20 02:42:57,-4
09/26/20 02:43:58,0
09/26/20 02:44:58,-1
09/26/20 02:45:58,10
09/26/20 02:46:58,-12
09/26/20 02:47:58,-32
09/26/20 02:48:58,-2
09/26/20 02:49:58,1
09/26/20 02:50:59,-3
09/26/20 02:51:59,-1
09/26/20 02:52:59,5
09/26/20 02:53:59,16
09/26/20 02:54:59,-34
09/26/20 02:55:59,0
09/26/20 02:56:59,-10
09/26/20 02:58:00,-7
09/26/20 02:59:00,-47
09/26/20 03:00:02,-2
09/26/20 03:01:02,-1
09/26/20 03:02:02,-1
09/26/20 03:03:02,5
09/26/20 03:04:03,-2
09/26/20 03:05:03,3
09/26/20 03:06:03,-3
09/26/20 03:07:03,18
09/26/20 03:08:03,10
09/26/20 03:09:03,0
09/26/20 03:10:03,6
09/26/20 03:11:04,-1
09/26/20 03:12:04,8
09/26/20 03:13:04,-8
09/26/20 03:14:04,1
09/26/20 03:15:04,23
09/26/20 03:16:04,4
09/26/20 03:17:04,-1
09/26/20 03:18:05,32
09/26/20 03:19:05,-5
09/26/20 03:20:05,3
09/26/20 03:21:05,-1
09/26/20 03:22:05,-3
09/26/20 03:23:05,-1
09/26/20 03:24:06,0
09/26/20 03:25:06,3
09/26/20 03:26:06,6
09/26/20 03:27:06,-2
09/26/20 03:28:06,-1
09/26/20 03:29:06,1
09/26/20 03:30:06,4
09/26/20 03:31:07,14
09/26/20 03:32:07,10
09/26/20 03:33:07,28
09/26/20 03:34:07,-1
09/26/20 03:35:07,-1
09/26/20 03:36:07,0
09/26/20 03:37:07,6
09/26/20 03:38:08,-2
09/26/20 03:39:08,-33
09/26/20 03:40:08,-3
09/26/20 03:41:08,1
09/26/20 03:42:08,6
09/26/20 03:43:08,7
09/26/20 03:44:09,0
09/26/20 03:45:09,5
09/26/20 03:46:09,-1
09/26/20 03:47:09,0
09/26/20 03:48:09,0
09/26/20 03:49:09,-2
09/26/20 03:50:09,2
09/26/20 03:51:10,1
09/26/20 03:52:10,-4
09/26/20 03:53:10,9
09/26/20 03:54:10,-1
