timestamp,Infrared to Red Signal Ratio
01/28/24 00:48:30,-7
01/28/24 00:49:30,-16
01/28/24 00:50:30,-3
01/28/24 00:51:30,0
01/28/24 00:52:30,2
01/28/24 00:53:30,-28
01/28/24 00:54:30,-13
01/28/24 00:55:30,-11
01/28/24 00:56:30,2
01/28/24 00:57:30,-2
01/28/24 00:58:30,-52
01/28/24 00:59:30,0
01/28/24 01:00:30,-1
01/28/24 01:01:30,0
01/28/24 01:02:30,-2
01/28/24 01:03:30,3
01/28/24 01:04:30,8
01/28/24 01:05:30,-42
01/28/24 01:06:30,-7
01/28/24 01:07:30,0
01/28/24 01:08:30,-12
01/28/24 01:09:30,-28
01/28/24 01:10:30,-36
01/28/24 01:11:30,32
01/28/24 01:12:30,-7
01/28/24 01:13:30,-33
01/28/24 01:14:30,-46
01/28/24 01:15:30,-52
01/28/24 01:16:30,-2
01/28/24 01:17:30,-20
01/28/24 01:18:30,0
01/28/24 01:19:30,-29
01/28/24 01:20:30,1
01/28/24 01:21:30,-56
01/28/24 01:22:30,0
01/28/24 01:23:30,0
01/28/24 01:24:30,-3
01/28/24 01:25:30,-4
01/28/24 01:26:30,-4
01/28/24 01:27:30,4
01/28/24 01:28:30,18
01/28/24 01:29:30,-13
01/28/24 01:30:30,-5
01/28/24 01:31:30,0
01/28/24 01:32:30,-8
01/28/24 01:33:30,0
01/28/24 01:34:30,0
01/28/24 01:35:30,0
01/28/24 01:36:30,27
01/28/24 01:37:30,0
01/28/24 01:38:30,0
01/28/24 01:39:30,-6
01/28/24 01:40:30,13
01/28/24 01:41:30,-12
01/28/24 01:42:30,-10
01/28/24 01:43:30,1
01/28/24 01:44:30,3
01/28/24 01:45:30,4
01/28/24 01:46:30,-4
01/28/24 01:47:30,0
01/28/24 01:48:30,-2
01/28/24 01:49:30,0
01/28/24 01:50:30,0
01/28/24 01:51:30,0
01/28/24 01:52:30,-12
01/28/24 01:53:30,0
01/28/24 01:54:30,0
01/28/24 01:55:30,3
01/28/24 01:56:30,-1
01/28/24 01:57:30,-20
01/28/24 01:58:30,0
01/28/24 01:59:30,0
01/28/24 02:00:30,-13
01/28/24 02:01:30,-5
01/28/24 02:02:30,14
01/28/24 02:03:30,-82
01/28/24 02:04:30,5
01/28/24 02:05:30,-11
01/28/24 02:06:30,24
01/28/24 02:07:30,11
01/28/24 02:08:30,-5
01/28/24 02:09:30,-23
01/28/24 02:10:30,-3
01/28/24 02:11:30,-38
01/28/24 02:12:30,0
