timestamp,Infrared to Red Signal Ratio
07/15/20 00:00:43,-1
07/15/20 00:01:43,13
07/15/20 00:02:43,9
07/15/20 00:03:43,2
07/15/20 00:04:43,12
07/15/20 00:05:44,1
07/15/20 00:06:44,-1
07/15/20 00:07:44,0
07/15/20 00:08:44,0
07/15/20 00:09:44,0
07/15/20 00:10:44,-1
07/15/20 00:11:44,-4
07/15/20 00:12:45,-1
07/15/20 00:13:45,-1
07/15/20 00:14:45,-8
07/15/20 00:15:45,2
07/15/20 00:16:45,0
07/15/20 00:17:45,-1
07/15/20 00:18:45,0
07/15/20 00:19:46,-3
07/15/20 00:20:46,-2
07/15/20 00:21:46,-2
07/15/20 00:22:46,7
07/15/20 00:23:46,-2
07/15/20 00:24:46,1
07/15/20 00:25:47,-3
07/15/20 00:26:47,5
07/15/20 00:27:47,-1
07/15/20 00:28:47,0
07/15/20 00:29:47,-1
07/15/20 00:30:47,1
07/15/20 00:31:47,12
07/15/20 00:32:48,-10
07/15/20 00:33:48,2
07/15/20 00:34:48,7
07/15/20 00:35:48,-2
07/15/20 00:36:48,3
07/15/20 00:37:48,0
07/15/20 00:38:48,0
07/15/20 00:39:49,0
07/15/20 00:40:49,-1
07/15/20 00:41:49,1
07/15/20 00:42:49,0
07/15/20 00:43:49,0
07/15/20 00:44:49,5
07/15/20 00:45:50,-1
07/15/20 00:46:50,0
07/15/20 00:47:50,-2
07/15/20 00:48:50,0
07/15/20 00:49:50,1
07/15/20 00:50:50,6
07/15/20 00:51:50,-1
07/15/20 00:52:51,-3
07/15/20 00:53:51,-1
07/15/20 00:54:51,2
07/15/20 00:55:51,6
07/15/20 00:56:51,-7
07/15/20 00:57:51,0
07/15/20 00:58:51,5
07/15/20 00:59:52,-1
07/15/20 01:00:52,-1
07/15/20 01:01:52,-7
07/15/20 01:02:52,-3
07/15/20 01:03:52,0
07/15/20 01:04:52,-8
07/15/20 01:05:53,8
07/15/20 01:06:53,2
07/15/20 01:07:53,-13
07/15/20 01:08:53,23
07/15/20 01:09:53,-7
07/15/20 01:10:53,3
07/15/20 01:11:53,-6
07/15/20 01:12:54,4
07/15/20 01:13:54,6
07/15/20 01:14:54,-1
07/15/20 01:15:54,-4
07/15/20 01:16:54,23
07/15/20 01:17:54,21
07/15/20 01:18:54,2
07/15/20 01:19:55,0
07/15/20 01:20:55,8
07/15/20 01:21:55,-2
07/15/20 01:22:55,5
07/15/20 01:23:55,15
07/15/20 01:24:55,0
07/15/20 01:25:56,-16
07/15/20 01:26:56,4
07/15/20 01:27:56,-53
07/15/20 01:28:56,-1
07/15/20 01:29:56,-1
07/15/20 01:30:56,-1
07/15/20 01:31:56,0
07/15/20 01:32:57,-1
07/15/20 01:33:57,7
07/15/20 01:34:57,-1
07/15/20 01:35:57,0
07/15/20 01:36:57,-3
07/15/20 01:37:57,-1
07/15/20 01:38:57,0
07/15/20 01:39:58,1
07/15/20 01:40:58,-6
07/15/20 01:41:58,-3
07/15/20 01:42:58,0
07/15/20 01:43:58,1
07/15/20 01:44:58,5
07/15/20 01:45:59,6
07/15/20 01:46:59,-2
07/15/20 01:47:59,30
07/15/20 01:48:59,24
07/15/20 01:49:59,0
07/15/20 01:50:59,-24
07/15/20 01:51:59,-5
07/15/20 01:53:00,-16
07/15/20 01:54:00,-7
07/15/20 01:55:00,-1
07/15/20 01:56:00,-27
07/15/20 01:57:00,-6
07/15/20 01:58:00,-4
07/15/20 01:59:00,-8
07/15/20 02:00:01,0
07/15/20 02:01:01,-7
07/15/20 02:02:01,-20
07/15/20 02:03:01,11
07/15/20 02:04:01,1
07/15/20 02:05:01,-5
07/15/20 02:06:02,-5
07/15/20 02:07:02,-1
07/15/20 02:08:02,10
07/15/20 02:09:02,-15
07/15/20 02:10:02,2
07/15/20 02:11:02,0
07/15/20 02:12:02,-11
07/15/20 02:13:03,5
07/15/20 02:14:03,-1
07/15/20 02:15:03,-1
07/15/20 02:16:03,-2
07/15/20 02:17:03,-11
07/15/20 02:18:03,-1
07/15/20 02:19:03,3
07/15/20 02:20:04,-3
07/15/20 02:21:04,0
07/15/20 02:22:04,14
07/15/20 02:23:04,-1
07/15/20 02:24:04,16
07/15/20 02:25:04,1
07/15/20 02:26:05,0
07/15/20 02:27:05,7
07/15/20 02:28:05,7
07/15/20 02:29:05,19
07/15/20 02:30:05,-1
07/15/20 02:31:05,-13
07/15/20 02:32:05,-28
07/15/20 02:33:06,-6
07/15/20 02:34:06,7
07/15/20 02:35:06,-1
07/15/20 02:36:06,0
07/15/20 02:37:06,2
07/15/20 02:38:06,-1
07/15/20 02:39:06,-14
07/15/20 02:40:07,-2
07/15/20 02:41:07,2
07/15/20 02:42:07,-14
07/15/20 02:43:07,2
07/15/20 02:44:07,-1
07/15/20 02:45:07,-1
07/15/20 02:46:08,35
07/15/20 02:47:08,-1
07/15/20 02:48:08,5
07/15/20 02:49:08,0
07/15/20 02:50:08,5
07/15/20 02:51:08,7
07/15/20 02:52:08,-1
07/15/20 02:53:09,16
07/15/20 02:54:09,35
07/15/20 02:55:09,0
07/15/20 02:56:09,0
07/15/20 02:57:09,-3
07/15/20 02:58:09,0
07/15/20 02:59:09,0
07/15/20 03:00:10,0
07/15/20 03:01:10,-1
07/15/20 03:02:10,-3
07/15/20 03:03:10,6
07/15/20 03:04:10,-13
07/15/20 03:05:10,2
07/15/20 03:06:11,14
07/15/20 03:07:11,6
07/15/20 03:08:11,6
07/15/20 03:09:11,0
07/15/20 03:10:11,-2
07/15/20 03:11:11,-1
07/15/20 03:12:11,22
07/15/20 03:13:12,-1
07/15/20 03:14:12,10
07/15/20 03:15:12,-4
07/15/20 03:16:12,0
07/15/20 03:17:12,-1
07/15/20 03:18:12,-1
07/15/20 03:19:12,12
07/15/20 03:20:13,0
07/15/20 03:21:13,1
07/15/20 03:22:13,0
07/15/20 03:23:13,10
07/15/20 03:24:13,-15
07/15/20 03:25:13,-5
07/15/20 03:26:14,-4
07/15/20 03:27:14,0
07/15/20 03:28:14,2
07/15/20 03:29:14,0
07/15/20 03:30:14,0
07/15/20 03:31:14,-2
07/15/20 03:32:14,0
07/15/20 03:33:15,-2
07/15/20 03:34:15,0
07/15/20 03:35:15,-3
07/15/20 03:36:15,-15
07/15/20 03:37:15,-3
07/15/20 03:38:15,-1
07/15/20 03:39:15,0
07/15/20 03:40:16,0
07/15/20 03:41:16,1
07/15/20 03:42:16,-2
07/15/20 03:43:16,0
07/15/20 03:44:16,-3
07/15/20 03:45:16,2
07/15/20 03:46:17,1
07/15/20 03:47:17,-4
07/15/20 03:48:17,2
07/15/20 03:49:17,0
07/15/20 03:50:17,-2
07/15/20 03:51:17,0
