timestamp,Infrared to Red Signal Ratio
04/04/23 00:00:00,0
04/04/23 00:01:00,0
04/04/23 00:02:00,18
04/04/23 00:03:00,9
04/04/23 00:04:00,-3
04/04/23 00:05:00,-6
04/04/23 00:06:00,13
04/04/23 00:07:00,0
04/04/23 00:08:00,0
04/04/23 00:09:00,0
04/04/23 00:10:00,0
04/04/23 00:11:00,4
04/04/23 00:12:00,0
04/04/23 00:13:00,17
04/04/23 00:14:00,3
04/04/23 00:15:00,52
04/04/23 00:16:00,2
04/04/23 00:17:00,0
04/04/23 00:18:00,8
04/04/23 00:19:00,-30
04/04/23 00:20:00,17
04/04/23 00:21:00,0
04/04/23 00:22:00,-8
04/04/23 00:23:00,12
04/04/23 00:24:00,4
04/04/23 00:25:00,0
04/04/23 00:26:00,-7
04/04/23 00:27:00,-4
04/04/23 00:28:00,24
04/04/23 00:29:00,0
04/04/23 00:30:00,3
04/04/23 00:31:00,-66
04/04/23 00:32:00,-40
04/04/23 00:33:00,-26
04/04/23 00:34:00,-1
04/04/23 00:35:00,-8
04/04/23 00:36:00,-17
04/04/23 00:37:00,-8
04/04/23 00:38:00,-2
04/04/23 00:39:00,-1
04/04/23 00:40:00,8
04/04/23 00:41:00,-8
04/04/23 00:42:00,0
04/04/23 00:43:00,0
04/04/23 00:44:00,7
04/04/23 00:45:00,5
04/04/23 00:46:00,4
04/04/23 00:47:00,3
04/04/23 00:48:00,-82
04/04/23 00:49:00,0
04/04/23 00:50:00,11
04/04/23 00:51:00,-17
04/04/23 00:52:00,-4
04/04/23 00:53:00,4
04/04/23 00:54:00,0
04/04/23 00:55:00,-12
04/04/23 00:56:00,-13
04/04/23 00:57:00,-13
04/04/23 00:58:00,9
04/04/23 00:59:00,0
04/04/23 01:00:00,-4
04/04/23 01:01:00,19
04/04/23 01:02:00,-8
04/04/23 01:03:00,0
04/04/23 01:04:00,0
04/04/23 01:05:00,0
04/04/23 01:06:00,0
04/04/23 01:07:00,-5
04/04/23 01:08:00,-6
04/04/23 01:09:00,8
04/04/23 01:10:00,-7
04/04/23 01:11:00,-28
04/04/23 01:12:00,0
04/04/23 01:13:00,5
04/04/23 01:14:00,0
04/04/23 01:15:00,-3
04/04/23 01:16:00,13
04/04/23 01:17:00,0
04/04/23 01:18:00,2
04/04/23 01:19:00,21
04/04/23 01:20:00,40
04/04/23 01:21:00,0
04/04/23 01:22:00,0
04/04/23 01:23:00,0
04/04/23 01:24:00,35
04/04/23 01:25:00,0
04/04/23 01:26:00,-13
04/04/23 01:27:00,0
04/04/23 01:28:00,-5
04/04/23 01:29:00,4
04/04/23 01:30:00,1
04/04/23 01:31:00,7
04/04/23 01:32:00,1
04/04/23 01:33:00,0
04/04/23 01:34:00,16
04/04/23 01:35:00,26
04/04/23 01:36:00,-12
04/04/23 01:37:00,7
04/04/23 01:38:00,1
04/04/23 01:39:00,-71
04/04/23 01:40:00,0
04/04/23 01:41:00,2
04/04/23 01:42:00,12
04/04/23 01:43:00,-10
04/04/23 01:44:00,37
04/04/23 01:45:00,2
04/04/23 01:46:00,0
04/04/23 01:47:00,-13
04/04/23 01:48:00,-5
04/04/23 01:49:00,0
04/04/23 01:50:00,-19
04/04/23 01:51:00,0
04/04/23 01:52:00,72
04/04/23 01:53:00,15
04/04/23 01:54:00,-3
04/04/23 01:55:00,47
04/04/23 01:56:00,0
04/04/23 01:57:00,-16
04/04/23 01:58:00,-51
04/04/23 01:59:00,-24
04/04/23 02:00:00,-25
04/04/23 02:01:00,-15
04/04/23 02:02:00,0
04/04/23 02:03:00,-43
04/04/23 02:04:00,-20
04/04/23 02:05:00,-42
04/04/23 02:06:00,-21
04/04/23 02:07:00,0
04/04/23 02:08:00,-4
04/04/23 02:09:00,3
04/04/23 02:10:00,-75
04/04/23 02:11:00,1
04/04/23 02:12:00,1
04/04/23 02:13:00,0
04/04/23 02:14:00,0
04/04/23 02:15:00,-3
04/04/23 02:16:00,10
04/04/23 02:17:00,26
04/04/23 02:18:00,-3
04/04/23 02:19:00,-10
04/04/23 02:20:00,1
04/04/23 02:21:00,14
04/04/23 02:22:00,0
04/04/23 02:23:00,8
04/04/23 02:24:00,-4
04/04/23 02:25:00,0
04/04/23 02:26:00,-11
04/04/23 02:27:00,9
04/04/23 02:28:00,6
04/04/23 02:29:00,0
04/04/23 02:30:00,5
04/04/23 02:31:00,3
04/04/23 02:32:00,3
04/04/23 02:33:00,-3
04/04/23 02:34:00,-34
04/04/23 02:35:00,1
04/04/23 02:36:00,-3
04/04/23 02:37:00,-2
04/04/23 02:38:00,1
04/04/23 02:39:00,40
04/04/23 02:40:00,-13
04/04/23 02:41:00,0
04/04/23 02:42:00,-7
04/04/23 02:43:00,0
04/04/23 02:44:00,22
