timestamp,Infrared to Red Signal Ratio
09/16/20 00:00:34,-2
09/16/20 00:01:34,-1
09/16/20 00:02:35,1
09/16/20 00:03:35,-3
09/16/20 00:04:35,-5
09/16/20 00:05:35,-1
09/16/20 00:06:35,-25
09/16/20 00:07:35,-9
09/16/20 00:08:35,-11
09/16/20 00:09:36,-2
09/16/20 00:10:36,-19
09/16/20 00:11:36,33
09/16/20 00:12:36,-4
09/16/20 00:13:36,-12
09/16/20 00:14:36,-4
09/16/20 00:15:37,6
09/16/20 00:16:37,0
09/16/20 00:17:37,-6
09/16/20 00:18:37,0
09/16/20 00:19:37,2
09/16/20 00:20:37,0
09/16/20 00:21:37,-1
09/16/20 00:22:38,2
09/16/20 00:23:38,-1
09/16/20 00:24:38,-6
09/16/20 00:25:38,5
09/16/20 00:26:38,21
09/16/20 00:27:38,10
09/16/20 00:28:38,-2
09/16/20 00:29:39,-23
09/16/20 00:30:39,3
09/16/20 00:31:40,-4
09/16/20 00:32:40,1
09/16/20 00:33:40,-1
09/16/20 00:34:40,-8
09/16/20 00:35:41,-2
09/16/20 00:36:41,0
09/16/20 00:37:41,-1
09/16/20 00:38:41,1
09/16/20 00:39:41,0
09/16/20 00:40:41,5
09/16/20 00:41:41,0
09/16/20 00:42:42,-1
09/16/20 00:43:42,9
09/16/20 00:44:42,51
09/16/20 00:45:42,-9
09/16/20 00:46:42,0
09/16/20 00:47:42,8
09/16/20 00:48:43,14
09/16/20 00:49:43,-9
09/16/20 00:50:43,5
09/16/20 00:51:43,-1
09/16/20 00:52:43,-1
09/16/20 00:53:43,-5
09/16/20 00:54:43,2
09/16/20 00:55:44,-9
09/16/20 00:56:44,3
09/16/20 00:57:44,-1
09/16/20 00:58:44,3
09/16/20 00:59:44,-1
09/16/20 01:00:44,2
09/16/20 01:01:44,0
09/16/20 01:02:45,17
09/16/20 01:03:45,-3
09/16/20 01:04:45,0
09/16/20 01:05:45,-1
09/16/20 01:06:45,-1
