timestamp,Infrared to Red Signal Ratio
12/01/23 00:13:00,-34
12/01/23 00:14:00,0
12/01/23 00:15:00,-70
12/01/23 00:16:00,5
12/01/23 00:17:00,4
12/01/23 00:18:00,-39
12/01/23 00:19:00,0
12/01/23 00:20:00,-5
12/01/23 00:21:00,0
12/01/23 00:22:00,8
12/01/23 00:23:00,3
12/01/23 00:24:00,-8
12/01/23 00:25:00,0
12/01/23 00:26:00,-6
12/01/23 00:27:00,-8
12/01/23 00:28:00,0
12/01/23 00:29:00,-1
12/01/23 00:30:00,4
12/01/23 00:31:00,0
12/01/23 00:32:00,0
12/01/23 00:33:00,-1
12/01/23 00:34:00,-3
12/01/23 00:35:00,21
12/01/23 00:36:00,-53
12/01/23 00:37:00,0
12/01/23 00:38:00,82
12/01/23 00:39:00,-8
12/01/23 00:40:00,-1
12/01/23 00:41:00,-34
12/01/23 00:42:00,-53
12/01/23 00:43:00,-40
12/01/23 00:44:00,46
12/01/23 00:45:00,2
12/01/23 00:46:00,-38
12/01/23 00:47:00,0
12/01/23 00:48:00,2
12/01/23 00:49:00,-55
12/01/23 00:50:00,-23
12/01/23 00:51:00,10
12/01/23 00:52:00,6
12/01/23 00:53:00,52
12/01/23 00:54:00,13
12/01/23 00:55:00,16
12/01/23 00:56:00,0
12/01/23 00:57:00,-1
12/01/23 00:58:00,4
12/01/23 00:59:00,12
12/01/23 01:00:00,5
12/01/23 01:01:00,-4
12/01/23 01:02:00,0
12/01/23 01:03:00,20
12/01/23 01:04:00,0
12/01/23 01:05:00,12
12/01/23 01:06:00,7
12/01/23 01:07:00,-3
12/01/23 01:08:00,-7
12/01/23 01:09:00,-12
12/01/23 01:10:00,-31
12/01/23 01:11:00,-1
12/01/23 01:12:00,7
12/01/23 01:13:00,-8
12/01/23 01:14:00,-37
12/01/23 01:15:00,1
12/01/23 01:16:00,-25
12/01/23 01:17:00,8
12/01/23 01:18:00,-12
12/01/23 01:19:00,26
12/01/23 01:20:00,11
12/01/23 01:21:00,-2
12/01/23 01:22:00,13
12/01/23 01:23:00,-13
12/01/23 01:24:00,-14
12/01/23 01:25:00,0
12/01/23 01:26:00,-21
12/01/23 01:27:00,0
12/01/23 01:28:00,-6
12/01/23 01:29:00,0
12/01/23 01:30:00,-3
12/01/23 01:31:00,0
12/01/23 01:32:00,-21
12/01/23 01:33:00,-26
12/01/23 01:34:00,-42
12/01/23 01:35:00,0
12/01/23 01:36:00,77
12/01/23 01:37:00,-93
12/01/23 01:38:00,-5
12/01/23 01:39:00,-38
12/01/23 01:40:00,-3
12/01/23 01:41:00,-32
12/01/23 01:42:00,0
12/01/23 01:43:00,-2
12/01/23 01:44:00,27
12/01/23 01:45:00,38
12/01/23 01:46:00,25
12/01/23 01:47:00,0
12/01/23 01:48:00,-6
12/01/23 01:49:00,34
12/01/23 01:50:00,-18
12/01/23 01:51:00,-25
12/01/23 01:52:00,28
12/01/23 01:53:00,-10
12/01/23 01:54:00,17
12/01/23 01:55:00,22
12/01/23 01:56:00,2
12/01/23 01:57:00,-36
12/01/23 01:58:00,-9
12/01/23 01:59:00,-1
12/01/23 02:00:00,0
12/01/23 02:01:00,42
12/01/23 02:02:00,-24
12/01/23 02:03:00,-21
12/01/23 02:04:00,-1
12/01/23 02:05:00,-14
12/01/23 02:06:00,22
12/01/23 02:07:00,0
12/01/23 02:08:00,-5
12/01/23 02:09:00,-8
12/01/23 02:10:00,5
12/01/23 02:11:00,-2
12/01/23 02:12:00,-15
12/01/23 02:13:00,0
12/01/23 02:14:00,13
12/01/23 02:15:00,2
12/01/23 02:16:00,0
