timestamp,Infrared to Red Signal Ratio
06/30/20 00:00:11,1
06/30/20 00:01:11,0
06/30/20 00:02:11,0
06/30/20 00:03:11,-1
06/30/20 00:04:12,0
06/30/20 00:05:12,-13
06/30/20 00:06:12,0
06/30/20 00:07:12,-19
06/30/20 00:08:12,-1
06/30/20 00:09:12,-1
06/30/20 00:10:12,-1
06/30/20 00:11:13,-1
06/30/20 00:12:13,0
06/30/20 00:13:13,-1
06/30/20 00:14:13,-1
06/30/20 00:15:13,0
06/30/20 00:16:13,0
06/30/20 00:17:13,-1
06/30/20 00:18:14,3
06/30/20 00:19:14,24
06/30/20 00:20:14,-17
06/30/20 00:21:14,0
06/30/20 00:22:14,0
06/30/20 00:23:14,3
06/30/20 00:24:15,-3
06/30/20 00:25:15,7
06/30/20 00:26:15,-1
06/30/20 00:27:15,-1
06/30/20 00:28:15,-2
06/30/20 00:29:15,-1
06/30/20 00:30:15,2
06/30/20 00:31:16,0
06/30/20 00:32:16,14
06/30/20 00:33:16,2
06/30/20 00:34:16,24
06/30/20 00:35:16,-1
06/30/20 00:36:16,6
06/30/20 00:37:16,11
06/30/20 00:38:17,2
06/30/20 00:39:17,23
06/30/20 00:40:17,2
06/30/20 00:41:17,-1
06/30/20 00:42:17,1
06/30/20 00:43:17,3
06/30/20 00:44:18,-1
06/30/20 00:45:18,4
06/30/20 00:46:18,6
06/30/20 00:47:18,-1
06/30/20 00:48:18,-1
06/30/20 00:49:18,40
06/30/20 00:50:18,2
06/30/20 00:51:19,-7
06/30/20 00:52:19,1
06/30/20 00:53:19,6
06/30/20 00:54:19,-5
06/30/20 00:55:19,-2
06/30/20 00:56:19,10
06/30/20 00:57:19,0
06/30/20 00:58:20,5
06/30/20 00:59:20,22
06/30/20 01:00:20,6
06/30/20 01:01:20,0
06/30/20 01:02:20,-3
06/30/20 01:03:20,3
06/30/20 01:04:21,3
06/30/20 01:05:21,-2
06/30/20 01:06:21,0
06/30/20 01:07:21,-6
06/30/20 01:08:21,8
06/30/20 01:09:21,-48
06/30/20 01:10:21,-8
06/30/20 01:11:22,-20
06/30/20 01:12:22,-4
06/30/20 01:13:22,26
06/30/20 01:14:22,-25
06/30/20 01:15:22,-10
06/30/20 01:16:22,3
06/30/20 01:17:22,-5
06/30/20 01:18:23,0
06/30/20 01:19:23,-18
06/30/20 01:20:23,1
06/30/20 01:21:23,1
06/30/20 01:22:23,3
06/30/20 01:23:23,-6
06/30/20 01:24:24,-1
06/30/20 01:25:24,0
06/30/20 01:26:24,0
06/30/20 01:27:24,-1
06/30/20 01:28:24,7
06/30/20 01:29:24,-6
