timestamp,Infrared to Red Signal Ratio
03/15/20 00:00:06,-15
03/15/20 00:01:06,-46
03/15/20 00:02:06,-73
03/15/20 00:03:06,-4
03/15/20 00:04:07,-6
03/15/20 00:05:07,0
03/15/20 00:06:07,-19
03/15/20 00:07:07,0
03/15/20 00:08:07,-11
03/15/20 00:09:07,-15
03/15/20 00:10:08,-1
03/15/20 00:11:08,-28
03/15/20 00:12:08,-80
03/15/20 00:13:08,-1
03/15/20 00:14:08,1
03/15/20 00:15:08,3
03/15/20 00:16:08,-17
03/15/20 00:17:09,-1
03/15/20 00:18:09,-35
03/15/20 00:19:09,1
03/15/20 00:20:09,-9
03/15/20 00:21:09,0
03/15/20 00:22:09,-12
03/15/20 00:23:09,-1
03/15/20 00:24:10,1
03/15/20 00:25:10,4
03/15/20 00:26:10,-9
03/15/20 00:27:10,0
03/15/20 00:28:10,-3
03/15/20 00:29:10,-2
03/15/20 00:30:11,-1
03/15/20 00:31:11,-4
03/15/20 00:32:11,-4
03/15/20 00:33:11,16
03/15/20 00:34:11,-7
03/15/20 00:35:11,-9
03/15/20 00:36:11,-20
03/15/20 00:37:12,-1
03/15/20 00:38:12,-2
03/15/20 00:39:12,3
03/15/20 00:40:12,8
03/15/20 00:41:12,-1
03/15/20 00:42:12,-1
03/15/20 00:43:12,-1
03/15/20 00:44:13,3
03/15/20 00:45:13,-6
03/15/20 00:46:13,0
03/15/20 00:47:13,-1
03/15/20 00:48:13,0
03/15/20 00:49:13,2
03/15/20 00:50:14,0
03/15/20 00:51:14,0
03/15/20 00:52:14,1
03/15/20 00:53:14,3
03/15/20 00:54:14,1
03/15/20 00:55:14,-3
03/15/20 00:56:14,-2
03/15/20 00:57:15,-1
03/15/20 00:58:15,-2
03/15/20 00:59:15,-4
03/15/20 01:00:15,0
03/15/20 01:01:15,8
03/15/20 01:02:15,-2
03/15/20 01:03:16,-22
03/15/20 01:04:16,-8
03/15/20 01:05:16,29
03/15/20 01:06:16,3
03/15/20 01:07:16,1
03/15/20 01:08:16,11
03/15/20 01:09:16,33
03/15/20 01:10:17,-4
03/15/20 01:11:17,-4
03/15/20 01:12:17,-1
03/15/20 01:13:17,0
03/15/20 01:14:17,22
03/15/20 01:15:17,1
03/15/20 01:16:17,-1
03/15/20 01:17:18,-1
03/15/20 01:18:18,-3
03/15/20 01:19:18,-7
03/15/20 01:20:18,10
03/15/20 01:21:18,0
03/15/20 01:22:18,-10
03/15/20 01:23:19,0
03/15/20 01:24:19,12
03/15/20 01:25:19,0
03/15/20 01:26:19,-15
03/15/20 01:27:19,-7
03/15/20 01:28:19,-1
03/15/20 01:29:19,-4
03/15/20 01:30:20,3
03/15/20 01:31:20,-16
03/15/20 01:32:20,-2
03/15/20 01:33:20,-1
03/15/20 01:34:20,8
03/15/20 01:35:20,-1
03/15/20 01:36:20,6
03/15/20 01:37:21,2
03/15/20 01:38:21,-1
03/15/20 01:39:21,-3
03/15/20 01:40:21,1
03/15/20 01:41:21,-12
03/15/20 01:42:21,29
03/15/20 01:43:22,-1
03/15/20 01:44:22,10
03/15/20 01:45:22,-5
03/15/20 01:46:22,-7
03/15/20 01:47:22,-12
03/15/20 01:48:22,11
03/15/20 01:49:22,14
03/15/20 01:50:23,-8
03/15/20 01:51:23,-8
03/15/20 01:52:23,5
03/15/20 01:53:23,-18
03/15/20 01:54:23,-24
03/15/20 01:55:23,44
03/15/20 01:56:23,-2
03/15/20 01:57:24,51
03/15/20 01:58:24,42
03/15/20 01:59:24,4
